"ObservationDate","Country_Region","Province_State","Confirmed","Deaths","Recovered","Active"
2020-09-25,"Georgia",NA,4664,27,1759,2878
2020-09-25,"Kazakhstan",NA,107659,1699,102530,3430
2020-09-25,"Kosovo",NA,12683,488,8788,3407
2020-09-25,"Turkey",NA,311455,7858,273282,30315
2020-09-26,"Armenia",NA,49072,948,43576,4548
2020-09-26,"Azerbaijan",NA,39895,585,37523,1787
2020-09-26,"Cyprus",NA,1684,22,1369,293
2020-09-26,"Georgia",NA,4960,28,1819,3113
2020-09-26,"Kazakhstan",NA,107723,1699,102666,3358
2020-09-26,"Kosovo",NA,12683,488,8788,3407
2020-09-26,"Turkey",NA,312966,7929,274514,30523
2020-09-27,"Armenia",NA,49400,951,43613,4836
2020-09-27,"Azerbaijan",NA,40023,586,37655,1782
2020-09-27,"Cyprus",NA,1696,22,1369,305
2020-09-27,"Georgia",NA,5254,28,1906,3320
2020-09-27,"Kazakhstan",NA,107775,1699,102736,3340
2020-09-27,"Kosovo",NA,12683,488,8788,3407
2020-09-27,"Turkey",NA,314433,7997,275630,30806
2020-09-29,"Armenia",NA,49901,958,43849,5094
2020-09-29,"Azerbaijan",NA,40119,590,37827,1702
2020-09-29,"Cyprus",NA,1743,22,1369,352
2020-09-29,"Georgia",NA,5866,36,2324,3506
2020-09-29,"Kazakhstan",NA,107908,1725,102874,3309
2020-09-29,"Kosovo",NA,12683,488,8788,3407
2020-09-29,"Turkey",NA,317272,8130,278504,30638
2020-09-30,"Armenia",NA,50359,959,44001,5399
2020-09-30,"Azerbaijan",NA,40229,591,37954,1684
2020-09-30,"Cyprus",NA,1755,22,1369,364
2020-09-30,"Georgia",NA,6192,39,3120,3033
2020-09-30,"Kazakhstan",NA,107979,1725,102937,3317
2020-09-30,"Kosovo",NA,12683,488,8788,3407
2020-09-30,"Turkey",NA,318663,8195,279749,30719
2020-10-01,"Armenia",NA,50850,963,44219,5668
2020-10-01,"Azerbaijan",NA,40309,593,38068,1648
2020-10-01,"Cyprus",NA,1772,22,1369,381
2020-10-01,"Georgia",NA,6640,41,3419,3180
2020-10-01,"Kazakhstan",NA,108044,1725,103028,3291
2020-10-01,"Kosovo",NA,12683,488,8788,3407
2020-10-01,"Turkey",NA,320070,8262,281151,30657
2020-10-02,"Armenia",NA,51382,966,44406,6010
2020-10-02,"Azerbaijan",NA,40453,594,38217,1642
2020-10-02,"Cyprus",NA,1789,22,1369,398
2020-10-02,"Georgia",NA,7093,46,3714,3333
2020-10-02,"Kazakhstan",NA,108106,1725,103110,3271
2020-10-02,"Kosovo",NA,12683,488,8788,3407
2020-10-02,"Turkey",NA,321512,8325,282657,30530
2020-10-03,"Armenia",NA,51925,972,44583,6370
2020-10-03,"Azerbaijan",NA,40561,595,38354,1612
2020-10-03,"Cyprus",NA,1811,22,1369,420
2020-10-03,"Georgia",NA,7564,48,3992,3524
2020-10-03,"Kazakhstan",NA,108177,1725,103205,3247
2020-10-03,"Kosovo",NA,12683,488,8788,3407
2020-10-03,"Turkey",NA,323014,8384,283868,30762
2020-10-04,"Armenia",NA,52496,977,44672,6847
2020-10-04,"Azerbaijan",NA,40691,596,38496,1599
2020-10-04,"Cyprus",NA,1824,22,1369,433
2020-10-04,"Georgia",NA,8118,50,4244,3824
2020-10-04,"Kazakhstan",NA,108236,1725,103277,3234
2020-10-04,"Kosovo",NA,12683,488,8788,3407
2020-10-04,"Turkey",NA,324443,8441,285050,30952
2020-10-05,"Armenia",NA,52677,984,44710,6983
2020-10-05,"Azerbaijan",NA,40788,598,38587,1603
2020-10-05,"Cyprus",NA,1847,22,1369,456
2020-10-05,"Georgia",NA,8696,54,4619,4023
2020-10-05,"Kazakhstan",NA,108296,1725,103367,3204
2020-10-05,"Kosovo",NA,12683,488,8788,3407
2020-10-05,"Turkey",NA,326046,8498,286370,31178
2020-10-06,"Armenia",NA,53083,990,44932,7161
2020-10-06,"Azerbaijan",NA,40931,600,38713,1618
